Name;Kurzbeschreibung;Primäres Datenbankmodell;Punkte;Rang; Suchmaschinen;Website;Technische Dokumentation;Entwickler;Erscheinungsjahr;Aktuelle Version;Lizenz;Ausschließlich ein Cloud-Service;DBaaS Angebote;Implementierungssprache;Server Betriebssysteme;Datenschema;Typisierung;XML Unterstützung;Sekundärindizes;SQL Support of SQL;APIs und andere Zugriffskonzepte;Unterstützte Programmiersprachen;Server-seitige Scripts Stored Procedures;Triggers;Partitionierungsmechanismen Methoden zum Speichern von unterschiedlichen Daten auf unterschiedlichen Knoten;Replikationsmechanismen Methoden zum redundanten Speichern von Daten auf mehreren Knoten;MapReduce Bietet ein API für Map/Reduce Operationen;Konsistenzkonzept Methoden zur Sicherstellung der Konsistenz in einem verteilten System;Fremdschlüssel referenzielle Integrität;Transaktionskonzept Unterstützung zur Sicherstellung der Datenintegrität bei nicht-atomaren Datenmanipulationen;Concurrency;Durability Dauerhafte Speicherung der Daten;In-Memory Unterstützung; Graph DBMS;Berechtigungskonzept;; Document Stores; Key-Value Stores; Relational DBMS; Time Series DBMS; Multivalue DBMS;Sekundäre Datenbankmodelle; Object oriented DBMS; RDF Stores; Wide Column Stores; Navigational DBMS; Event Stores; Native XML DBMS; Content Stores
Heroic;Time Series DBMS built at Spotify based on Cassandra or Google Cloud Bigtable, and ElasticSearch;Time Series DBMS;0,19;#258;null;spotify.github.io/heroic/#!/index;spotify.github.io/heroic/#!/docs/overview;Spotify;2014;null;Open Source Apache 2.0;nein;;Java;null;schemafrei;ja;nein;ja via Elasticsearch;nein;HQL (Heroic Query Language, a JSON-based language) HTTP API;null;nein;nein;Sharding;ja;nein;Eventual Consistency Immediate Consistency;nein;nein;ja;ja;nein;null;null;null;null;null;null; #17 ;null;null;null;null;null;null;null;null;null
Alibaba Cloud MaxCompute;MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing;Relational DBMS a graph-processing framework is available with the graphs being stored in tables;0,42;#215;null;www.alibabacloud.com/product/maxcompute;www.alibabacloud.com/help/product/27797.htm;Alibaba;2016;null;kommerziell;ja;;null;gehostet;ja;ja;nein;nein;SQL-like query language;Fluentd Flume MaxCompute Console;Java;user defined functions in Java;nein;Sharding Implicit feature of the cloud service;ja Implicit feature of the cloud service;ja;Immediate Consistency;nein;nein;ja;ja;nein;null;Access rights for users and roles;null;null;null; #101 ;null;null;null;null;null;null;null;null;null;null
Tajo;SQL auf Hadoop;Relational DBMS;0,30;#239;null;tajo.apache.org;null;Apache Software Foundation;2012;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #112 ;null;null;null;null;null;null;null;null;null;null
Akiban;SQL database with object oriented structured storage Acquired by Foundation DB;Relational DBMS;null;null;null;null;null;null;null;null;Open Source;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;Akiban was acquired by FoundationDB and has been outphased. It is excluded from the DB-Engines ranking.;null;null;null;null;null;null;null;null;null;null;null;null;null
c-treeACE;High speed key-value store, desgined for high availability, mission critical applications with automatic recovery and immediately consistent transaction support.;Key-Value Store Relational DBMS;0,52;#207;null;www.faircom.com/-products/-c-treeace;learn.faircomcorp.com/developers/documentation_directory;FairCom Corporation;1979;V11.5, November 2017;kommerziell Restricted, free version available;nein;;ANSI C, C++;AIX FreeBSD HP-UX Linux NetBSD OS X QNX SCO Solaris VxWorks Windows easily portable to other OSs;Flexible Schema (defined schema, partial schema, schema free);ja, ANSI Standard SQL Types;nein;ja;ja ANSI SQL queries;ADO.NET Direct SQL JDBC ODBC RESTful HTTP API;.Net C C# C++ Java JavaScript PHP Python Visual Basic;ja .Net, JavaScript, C/C++;ja;File partitioning, horizontal partitioning, sharding Customizable business rules for table partitioning;ja Synchronous and asynchronous realtime replication based on transaction logs;nein;Immediate Consistency Tunable Consistency;ja when using SQL;ACID;ja across SQL and NoSQL;ja;ja;null;Fine grained user, group and file access rights managed across SQL (per ANSI standard) and NoSQL.;null;null; #35 ; #98 ;null;null;null;null;null;null;null;null;null;null
JethroData;SQL Query Engine auf Hadoop;Relational DBMS;0,04;#329;null;jethro.io;null;JethroData;2013;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #135 ;null;null;null;null;null;null;null;null;null;null
OrientDB;Multi-model DBMS (Document, Graph, Key/Value);Document Store Graph DBMS Key-Value Store;5,38;#59;null;orientdb.com;orientdb.org/docs/3.0.x;OrientDB LTD, CallidusCloud;2010;3.0.23, August 2019;Open Source Apache Version 2;nein;;Java;Alle Betriebssysteme mit einer Java JDK (>= JDK 6);schemafrei Schema kann erzwungen werden: für kompletten Satz ("schema-full") oder nur für einzelne Attribute ("schema-hybrid");ja;nein;ja;SQL-like query language, no joins;Tinkerpop technology stack with Blueprints, Gremlin, Pipes Java API RESTful HTTP/JSON API;.Net C C# C++ Clojure Java JavaScript JavaScript (Node.js) PHP Python Ruby Scala;Java, Javascript;Hooks;Sharding;Master-Master Replikation;nein could be achieved with distributed queries;null;ja Beziehungen in Graphen;ACID;ja;ja;null; #3 ;Zugriffsrechte für Benutzer und Rollen, Rechte auch auf Satzebene;null; #10 ; #10 ;null;null;null;null;null;null;null;null;null;null;null
M3DB;A distributed time series database created for Uber;Time Series DBMS;0,14;#271;null;m3db.io;m3db.github.io/m3/m3db;null;null;null;Open Source Apache version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #19 ;null;null;null;null;null;null;null;null;null
Amazon DocumentDB;Fast, scalable, highly available, and fully managed MongoDB-compatible database service;Document Store;0,69;#182;null;aws.amazon.com/documentdb;aws.amazon.com/documentdb/resources;null;2019;null;kommerziell;ja;;null;gehostet;schemafrei;ja;nein;ja;nein;proprietary protocol using JSON (MongoDB compatible);Go Java JavaScript (Node.js) PHP Python;nein;nein;keine;Multi-availability zones for high availability, asynchronous replication for up to 15 read replicas;nein kann über Amazon Elastic MapReduce (Amazon EMR) realisiert werden;Immediate Consistency;nein typically not used, however similar functionality with DBRef possible;Atomic single-document operations;ja;ja;null;null;Access rights for users and roles;null; #26 ;null;null;null;null;null;null;null;null;null;null;null;null
Siaqodb;null;Object oriented DBMS;0,09;#294;null;www.siaqodb.com;null;null;null;null;kommerziell;nein;;C#;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #14 ;null;null;null;null;null;null
Neo4j;Open Source Graph Datenbank;Graph DBMS;50,53;#22;null;neo4j.com;neo4j.com/docs;Neo4j, Inc.;2007;3.5.8, Juli 2019;Open Source GPL Version3, kommerzielle Lizenzen verfügbar bei Bedarf;nein;;Java, Scala;Linux Kann auch Server-los als embedded Java Datenbank verwendet werden. OS X Solaris Windows;schemafrei und schema-optional;ja;null;ja Austauschbares Index Subsystem, per Default Apache Lucene;nein;Bolt protocol Cypher query language Java API Neo4j-OGM Object Graph Mapper RESTful HTTP API Spring Data Neo4j TinkerPop 3;.Net Clojure Elixir Go Groovy Haskell Java JavaScript Perl PHP Python Ruby Scala;ja User defined Procedures and Functions;ja mittels Event Handler;keine;Causal Clustering using Raft protocol available in in Enterprise Version only;nein;Causal and Eventual Consistency configurable in Causal Cluster setup Immediate Consistency in stand-alone mode;ja Beziehungen in Graphen;ACID;ja;ja;null; #1 ;Users, roles and permissions. Pluggable authentication with supported standards (LDAP, Active Directory, Kerberos);null;null;null;null;null;null;null;null;null;null;null;null;null;null
Djondb;null;Document Store;0,06;#319;null;djondb.com;null;null;2012;null;Open Source L-GPL;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #43 ;null;null;null;null;null;null;null;null;null;null;null;null
SAP IQ frÃ¼her: Sybase IQ;Columnar RDBMS optimized for Big Data analytics;Relational DBMS spaltenorientiert;5,03;#63;null;www.sap.com/products/sybase-iq-big-data-management.html;help.sap.com/iq;SAP, formerly Sybase;1994;16.1 SPS04, April 2019;kommerziell;nein;;null;AIX HP-UX Linux Solaris Windows;ja;ja;nein;ja;ja;ADO.NET JDBC ODBC RESTful HTTP API;C C# C++ Java Perl PHP Python Ruby;ja;ja;shared disk or shared nothing architectures with SAP IQ Multiplexer;SAP/Sybase Replication Server;Hadoop integration;Immediate Consistency;ja;ACID;ja;ja;nein;null;Benutzer mit feingranularem Berechtigungskonzept entsprechend SQL-Standard;null;null;null; #34 ;null;null;null;null;null;null;null;null;null;null
AllegroGraph;Hoch performanter, persistenter RDF Store mit Erweiterungen für Graph DBMS;Document Store with version 6.5 Graph DBMS RDF Store;0,87;#162;null;franz.com/agraph/allegrograph;franz.com/agraph/support/documentation/current/agraph-introduction.html;Franz Inc.;2004;6.6.0, August 2019;kommerziell Limitierte Community Edition gratis;nein;;null;Linux OS X Windows;ja RDF schemas;ja;nein Bulk load from XML files möglich;ja;SPARQL is used as query language;RESTful HTTP API SPARQL;C# Clojure Java Lisp Perl Python Ruby Scala;ja JavaScript or Common Lisp;ja;mittels Federation;Master-Slave Replikation Multi-Master Replikation;nein;Immediate Consistency or Eventual Consistency depending on configuration;nein;ACID;ja;ja;nein; #12 ;Benutzer mit feingranularem Berechtigungskonzept und Benutzerrollen;null; #23 ;null;null;null;null;null;null; #6 ;null;null;null;null;null
Aerospike FrÃ¼her Citrusleaf genannt;Flash-optimized In-memory NoSQL Database;Key-Value Store;6,19;#53;null;www.aerospike.com;www.aerospike.com/docs;Aerospike;2012;4.2.0.4, Juni 2018;Open Source Apache and AGPL Licenses, open sourced in June 2014, commercial Enterprise Edition available;nein;;C;Linux;schemafrei;ja;nein;ja;nein;JDBC Proprietäres Protokoll;.Net C C# C++ Erlang Go Java JavaScript (Node.js) Lua Perl PHP Python Ruby;benutzerdefinierte Funktionen with Lua;nein;Sharding;frei wählbarer Replikationsfaktor;ja Aerospike Aggregation Framework is similar to Map/Reduce;Eventual Consistency in cross-datacenter configuration and Immediate Consistency in local cluster configuration;nein;Atomic execution of operations;ja;ja;ja;null;Zugriffsrechte für Benutzer und Rollen nur mit Enterprise Edition;null;null; #7 ;null;null;null;null;null;null;null;null;null;null;null
Amazon Neptune;Fast, reliable graph database built for the cloud;Graph DBMS RDF Store;1,60;#127;null;aws.amazon.com/neptune;aws.amazon.com/neptune/developer-resources;Amazon;2017;null;kommerziell;ja;;null;gehostet;schemafrei;ja;nein;nein;nein;RDF 1.1 / SPARQL 1.1 TinkerPop Gremlin 3.3;C# Go Java JavaScript PHP Python Ruby Scala;nein;nein;keine;Multi-availability zones high availability, asynchronous replication for up to 15 read replicas;nein;Immediate Consistency;ja Relationships in graphs;ACID;ja;ja with encyption-at-rest;null; #7 ;Access rights for users and roles can be defined via the AWS Identity and Access Management (IAM);null;null;null;null;null;null;null;null; #4 ;null;null;null;null;null
SenseiDB;null;Document Store;0,11;#280;null;senseidb.com;null;null;2010;null;Open Source Apache Version 2;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #38 ;null;null;null;null;null;null;null;null;null;null;null;null
MapR-DB;Enterprise grade, high performance NoSQL DBMS for MapR's Hadoop Converged Data Platform which implements the HBase API.;Document Store Wide Column Store;0,62;#190;null;mapr.com/products/mapr-db;maprdocs.mapr.com/home;MapR Technologies, Inc;2009;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #28 ;null;null;null;null;null;null;null; #9 ;null;null;null;null
Manticore Search;Open Source Suchmaschine zum Suchen in Daten aus verschiedenen Quellen. Forked aus Sphinx;Suchmaschine;0,08;#299; #16 ;manticoresearch.com;docs.manticoresearch.com/latest/html github.com/manticoresoftware/manticoresearch;Manticore Software;2017;null;Open Source GPL Version 2;nein;;C++;FreeBSD Linux NetBSD OS X Solaris Windows;ja;nein;null;ja Full-Text Index auf allen Suchfeldern;SQL-like query language;Proprietäres Protokoll;C++ inoffizielle Client Library Java Perl inoffizielle Client Library PHP Python Ruby inoffizielle Client Library;nein;nein;Sharding Aufteilung der Daten erfolgt manuell, Suchabfragen auf verteilten Index werden unterstützt.;keine;nein;null;nein;nein;ja;ja Der Originalinhalt von Feldern wird nicht im Manticore-Index gespeichert.;null;null;nein;null;null;null;null;null;null;null;null;null;null;null;null;null;null
SparkleDB frÃ¼her Meronymy;null;RDF Store;0,05;#320;null;www.syssurge.com/Products/SparkleDB/Home.aspx;null;null;2012;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #20 ;null;null;null;null;null
ElevateDB;RDBMS das typischerweise zusammen mit einer Datenbankapplikation vertrieben wird;Relational DBMS;0,21;#255;null;www.elevatesoft.com/products?category=edb;null;Elevate Software, Inc.;2006;null;kommerziell;nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #119 ;null;null;null;null;null;null;null;null;null;null
RedStore;RedStore is a lightweight RDF triplestore;RDF Store;0,19;#260;null;www.aelius.com/njh/redstore;null;null;2009;null;Open Source GPLv3;nein;;C;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #13 ;null;null;null;null;null
Redland;A set of free software C libraries that provide support for the Resource Description Framework (RDF);RDF Store;0,53;#204;null;librdf.org;null;null;2000;null;Open Source Multi License (LGPL, GPLv2, Apache V2);nein;;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null; #9 ;null;null;null;null;null
GridGain;GridGain is an in-memory computing platform, built on Apache Ignite;Key-Value Store Relational DBMS;1,72;#123;null;www.gridgain.com;docs.gridgain.com/docs;GridGain Systems, Inc.;2007;GridGain 8.5.1;kommerziell;nein;;Java, C++, .Net;Linux OS X Solaris Windows;ja;ja;ja;ja;ANSI-99 for query and DML statements, subset of DDL;HDFS API Hibernate JCache JDBC ODBC Propriätäres Protokoll RESTful HTTP API Spring Data;C# C++ Java PHP Python Ruby Scala;yes (compute grid and cache interceptors can be used instead);yes (cache interceptors and events);Sharding;yes (replicated cache);yes (compute grid and hadoop accelerator);Immediate Consistency;nein;ACID;ja;ja;ja;null;Security Hooks for custom implementations;null;null; #22 ; #60 ;null;null;null;null;null;null;null;null;null;null
Rockset;A scalable, reliable search and analytics service in the cloud, built on RocksDB;Document Store;0,30;#237;null;rockset.com;docs.rockset.com/overview;Rockset;2019;null;kommerziell;ja;;C++;gehostet;schemafrei;dynamic typing;nein ingestion from XML files supported;all fields are automatically indexed;Read-only SQL queries, including JOINs;HTTP REST;Go Java JavaScript (Node.js) Python;nein;nein;Automatic sharding;ja;nein;Eventual Consistency;nein;nein;ja;ja;null;null;Access rights for users and organizations can be defined via Rockset console;null; #34 ;null;null;null;null;Relational DBMS Suchmaschine;null;null;null;null;null;null;null
